"District.code","District.name","Category","Student.group","X2021.2022.student.count...year.to.date","X2021.2022.attendance.rate...year.to.date","Math.2019.Average.Score","Math.2022.Average.Score","X2019.ELA.Average.Score","X2022.ELA.Average.Score"
"0020011","Ansonia School District","","All Students",2139,0.9045,439,416,467,443
"0020011","Ansonia School District","Students With Disabilities","Students With Disabilities",369,0.8897,439,416,467,443
"0020011","Ansonia School District","Free/Reduced Lunch","Free Meal Eligible",1192,0.8893,439,416,467,443
"0020011","Ansonia School District","Free/Reduced Lunch","Reduced Price Meal Eligible",225,0.9282,439,416,467,443
"0020011","Ansonia School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible",1417,0.8953,439,416,467,443
"0020011","Ansonia School District","English Learners","English Learners",122,0.918,439,416,467,443
"0020011","Ansonia School District","Race/Ethnicity","All other races",149,0.9191,439,416,467,443
"0020011","Ansonia School District","Race/Ethnicity","Black or African American",434,0.8987,439,416,467,443
"0020011","Ansonia School District","Race/Ethnicity","Hispanic/Latino of any race",987,0.8994,439,416,467,443
"0020011","Ansonia School District","Race/Ethnicity","White",569,0.9136,439,416,467,443
"0020011","Ansonia School District","High Needs","Students Without High Needs",528,0.9287,439,416,467,443
"0020011","Ansonia School District","High Needs","Students With High Needs",1545,0.8968,439,416,467,443
"0040011","Avon School District","","All Students",3057,0.9457,588,574,583,576
"0040011","Avon School District","Students With Disabilities","Students With Disabilities",324,0.9207,588,574,583,576
"0040011","Avon School District","Free/Reduced Lunch","Free Meal Eligible",226,0.9145,588,574,583,576
"0040011","Avon School District","Free/Reduced Lunch","Reduced Price Meal Eligible",60,0.9022,588,574,583,576
"0040011","Avon School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible",286,0.9119,588,574,583,576
"0040011","Avon School District","English Learners","English Learners",76,0.9414,588,574,583,576
"0040011","Avon School District","Race/Ethnicity","All other races",712,0.9543,588,574,583,576
"0040011","Avon School District","Race/Ethnicity","Black or African American",179,0.9224,588,574,583,576
"0040011","Avon School District","Race/Ethnicity","Hispanic/Latino of any race",221,0.9349,588,574,583,576
"0040011","Avon School District","Race/Ethnicity","White",1945,0.9458,588,574,583,576
"0040011","Avon School District","High Needs","Students Without High Needs",2427,0.9517,588,574,583,576
"0040011","Avon School District","High Needs","Students With High Needs",587,0.9221,588,574,583,576
"0070011","Berlin School District","","All Students",2613,0.9341,516,516,537,522
"0070011","Berlin School District","Students With Disabilities","Students With Disabilities",385,0.907,516,516,537,522
"0070011","Berlin School District","Free/Reduced Lunch","Free Meal Eligible",429,0.9039,516,516,537,522
"0070011","Berlin School District","Free/Reduced Lunch","Reduced Price Meal Eligible",128,0.9146,516,516,537,522
"0070011","Berlin School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible",557,0.9063,516,516,537,522
"0070011","Berlin School District","English Learners","English Learners",95,0.9171,516,516,537,522
"0070011","Berlin School District","Race/Ethnicity","All other races",192,0.9411,516,516,537,522
"0070011","Berlin School District","Race/Ethnicity","Black or African American",64,0.9271,516,516,537,522
"0070011","Berlin School District","Race/Ethnicity","Hispanic/Latino of any race",317,0.905,516,516,537,522
"0070011","Berlin School District","Race/Ethnicity","White",2040,0.9383,516,516,537,522
"0070011","Berlin School District","High Needs","Students Without High Needs",1756,0.9449,516,516,537,522
"0070011","Berlin School District","High Needs","Students With High Needs",841,0.9121,516,516,537,522
"0090011","Bethel School District","","All Students",3102,0.9375,523,508,529,519
"0090011","Bethel School District","Students With Disabilities","Students With Disabilities",405,0.9204,523,508,529,519
"0090011","Bethel School District","Free/Reduced Lunch","Free Meal Eligible",686,0.9225,523,508,529,519
"0090011","Bethel School District","Free/Reduced Lunch","Reduced Price Meal Eligible",217,0.9406,523,508,529,519
"0090011","Bethel School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible",903,0.9269,523,508,529,519
"0090011","Bethel School District","English Learners","English Learners",167,0.9278,523,508,529,519
"0090011","Bethel School District","Race/Ethnicity","All other races",384,0.9475,523,508,529,519
"0090011","Bethel School District","Race/Ethnicity","Black or African American",128,0.9403,523,508,529,519
"0090011","Bethel School District","Race/Ethnicity","Hispanic/Latino of any race",744,0.9343,523,508,529,519
"0090011","Bethel School District","Race/Ethnicity","White",1846,0.9365,523,508,529,519
"0090011","Bethel School District","High Needs","Students Without High Needs",1821,0.9447,523,508,529,519
"0090011","Bethel School District","High Needs","Students With High Needs",1216,0.9274,523,508,529,519
"0110011","Bloomfield School District","","All Students",1734,0.9293,439,438,477,457
"0110011","Bloomfield School District","Students With Disabilities","Students With Disabilities",369,0.9126,439,438,477,457
"0110011","Bloomfield School District","Free/Reduced Lunch","Free Meal Eligible",775,0.918,439,438,477,457
"0110011","Bloomfield School District","Free/Reduced Lunch","Reduced Price Meal Eligible",163,0.931,439,438,477,457
"0110011","Bloomfield School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible",938,0.9203,439,438,477,457
"0110011","Bloomfield School District","English Learners","English Learners",87,0.9221,439,438,477,457
